campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men Comfo tMax Launch,Adset-5 Retarget,2025-02-26,685.57,359404,5333.0,0.0148,127,3916.82,5.71,UGC,Doctors recommend breathable bamboo — meet our men briefs.,Broad,Facebook,UK
Women Fit & Lift,Adset-1 ATC,2025-02-23,286.68,119786,1905.0,0.0159,0,1276.13,4.45,Video,Breathable organic cotton that moves with you — limited offer on women panties.,Broad,Instagram,UK
WOMEN Cotton Classics,Adset-5 ATC,2025-03-02,96.07,469487,6236.0,0.0133,213,11796.65,122.79,Image,Summer‑ready essentials — sweat‑wicking women panties.,Lookalike,Facebook,US
women summer invisible,Adset-2 ATC,2025-01-12,584.86,239268,,0.0138,60,2385.53,4.08,Video,"Wire‑free ease, cloud‑soft cups — women wire‑free bras that fits right.",Broad,Facebook,US
Women Summer Invisible,Adset-2 ATC,2025-02-12,65.83,204102,1841.0,0.009,41,1724.64,26.2,Video,Seamless confidence for every day — new women wire‑free bras.,Lookalike,Instagram,US
Men Premium Modal,Adset-2 Retarget,2025-02-21,365.63,186000,2293.0,0.0123,56,1111.55,3.04,Carousel,Breathable cotton that moves with you — limited offer on men inner vests.,Broad,Facebook,IN
WOMEN SEAMLESS EVERYDAY,Adset-3 Broad,2025-02-20,162.59,331128,,0.0076,89,,23.44,Image,"Wire‑free ease, cloud‑soft cups — women panties that fits right.",Broad,Facebook,IN
Men  Premium  Modal,Adset-5 LAL2,2025-03-31,160.6,180337,2263.0,0.0125,90,3277.27,20.41,Image,Cooling mesh panels for workouts — men trunks you’ll actually love.,Retargeting,Instagram,IN
Men  Bold  Colors  Drop,Adset-1 Broad,2025-02-02,1063.46,490354,5676.0,0.0116,79,1879.92,1.77,Image,"All‑day comfort, zero pinch — try our men boxers!",Broad,Facebook,US
Men Signature Soft,Adset-1 Retarget,2025-03-06,508.09,152022,1584.0,0.0104,6,135.51,0.27,Video,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Women Fit and Lift,Adset-3 LAL2,2025-02-08,1161.01,273423,6413.0,0.0235,77,4049.95,3.49,UGC,Doctors recommend breathable cotton — meet our women bras.,Broad,Facebook,US
Men Sig-ature Soft,Adset-2 Broad,2025-03-25,104.66,276076,3534.0,0.0128,19,559.47,5.35,Video,Invisible under tees — seamless men inner vests.,Lookalike,Facebook,US
WOMEN_Cotton_Classics,Adset-2 WC,2025-03-01,218.22,65761,390.0,0.0059,13,448.65,2.06,Video,Summer‑ready essentials — sweat‑wicking women sports bras.,Broad,Instagram,US
Men  Premium  Modal,Adset-2 Retarget,2025-01-24,926.13,427135,4818.0,0.0113,116,5051.25,5.45,Video,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,US
Women-Studio Sports,Adset-1 ATC,2025-02-07,576.07,399774,5641.0,0.0141,189,6166.07,10.7,Image,Seamless confidence for every day — new women panties.,Broad,Facebook,IN
Men_|_Athleisure_Cooling,Adset-3 Broad,2025-02-18,1029.87,508017,9581.0,0.0189,301,9301.71,9.03,Image,Breathable cotton that moves with you — limited offer on men briefs.,Broad,Instagram,IN
women_Summer_Invisible,Adset-3 ATC,2025-03-18,727.62,510623,7639.0,0.015,83,2618.27,3.6,Video,"All‑day comfort, zero pinch — try our women bras!",Retargeting,Instagram,US
women Summer Invisible,Adset-1 LAL1,2025-03-30,1329.15,270143,2292.0,0.0085,40,886.91,0.67,Video,Cooling mesh panels for workouts — women panties you’ll actually love.,Lookalike,Facebook,IN
WOMEN_Cotton_Classics,Adset-4 LAL2,2025-03-09,503.79,330455,3342.0,0.0101,112,3535.69,7.02,Video,Summer‑ready essentials — sweat‑wicking women panties.,Retargeting,Facebook,UK
WOMEN Seamless Everyday,Adset-5 LAL1,2025-03-28,464.09,356070,3229.0,0.0091,58,1675.41,3.61,Image,"Wire‑free ease, cloud‑soft cups — women wire‑free bras that fits right.",Broad,Instagram,UK
Men Premium Modal,Adset-5 LAL2,2025-03-02,140.67,65469,,0.0114,18,517.54,3.68,UGC,Doctors recommend breathable modal — meet our men briefs.,Broad,Facebook,UK
WOMEN  Cotton  Classics,Adset-1 Retarget,2025-01-20,370.25,92971,777.0,0.0084,22,1154.91,3.12,Video,Breathable microfiber that moves with you — limited offer on women bras.,Broad,Facebook,IN
WOMEN Seamless Everyday,Adset-1 LAL1,2025-01-22,631.38,206673,2420.0,0.0117,58,2989.18,4.73,Image,Cooling mesh panels for workouts — women boyshorts you’ll actually love.,Broad,Instagram,US
Women_|_Studio_Sports,Adset-5 ATC,2025-01-01,233.95,70384,780.0,0.0111,27,1279.08,5.47,Video,Stretch that snaps back — durable women wire‑free bras.,Broad,Instagram,IN
WOMEN | STUDIO SPORTS,Adset-3 LAL2,2025-02-10,241.47,143173,1223.0,0.0085,66,2370.0,9.81,Video,No ride‑up guarantee — best‑selling women panties back in stock.,Broad,Facebook,US
Men Premium Modal,Adset-1 Retarget,2025-02-03,359.47,462801,6187.0,0.0134,147,3427.26,9.53,Video,Doctors recommend breathable modal — meet our men trunks.,Lookalike,Instagram,US
Women Summer Invisible,Adset-3 ATC,2025-03-14,954.75,75692,,0.0118,14,580.88,0.61,Carousel,"All‑day comfort, zero pinch — try our women panties!",Broad,Facebook,IN
MEN SIGNATURE SOFT,Adset-1 Retarget,2025-03-03,168.95,358989,4062.0,0.0113,20,540.36,3.2,Video,Confidence starts inside — elevate with men briefs.,Lookalike,Facebook,US
Women | Studio Sports,Adset-1 ATC,2025-03-19,441.14,391240,4337.0,0.0111,161,5471.49,12.4,Carousel,"Wire‑free ease, cloud‑soft cups — women boyshorts that fits right.",Retargeting,Instagram,US
Men Premium Modal,Adset-1 Retarget,2025-02-26,456.27,378378,5356.0,0.0142,119,2666.99,5.85,Image,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-3 ATC,2025-01-20,729.59,120463,2173.0,0.018,64,2418.28,3.31,Carousel,Invisible under tees — seamless men boxers.,Broad,Facebook,US
Men Comfortmax Launch,Adset-5 Retarget,2025-03-25,746.93,130533,2029.0,0.0155,0,0.0,0.0,UGC,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Lookalike,Facebook,US
Women  Fit  &  Lift,Adset-4 ATC,2025-03-27,357.06,94452,1999.0,0.0212,17,741.22,2.08,Image,"Wire‑free ease, cloud‑soft cups — women wire‑free bras that fits right.",Broad,Instagram,UK
WOMEN Cotton Classics,Adset-4 LAL2,2025-01-15,272.77,111845,1617.0,0.0145,29,980.28,3.59,Image,Confidence starts inside — elevate with women wire‑free bras.,Broad,Facebook,US
Men  |  Athleisure  Cooling,Adset-1 Retarget,2025-02-14,454.62,240167,4776.0,0.0199,152,5685.15,12.51,Video,Hot & comfy: men inner vests now 20% off — feel the difference.,Lookalike,Facebook,US
MEN_Signature_Soft,Adset-3 LAL1,2025-02-21,933.36,384204,9202.0,0.024,52,2305.71,2.47,Image,Invisible under tees — seamless men inner vests.,Lookalike,Facebook,US
women fit & lift,Adset-4 ATC,2025-01-24,221.31,77827,993.0,0.0128,10,447.16,2.02,Video,Cooling mesh panels for workouts — women bras you’ll actually love.,Lookalike,Instagram,US
WOMEN Cotton Classics,Adset-5 ATC,2025-02-03,80.86,337460,3908.0,0.0116,121,5783.24,71.52,UGC,Cooling mesh panels for workouts — women boyshorts you’ll actually love.,Lookalike,Instagram,IN
WOMEN_Seamless_Everyday,Adset-4 WC,2025-01-01,207.72,242611,1788.0,0.0074,36,1762.7,8.49,Video,Doctors recommend breathable microfiber — meet our women panties.,Broad,Instagram,US
Men_|_Athleisure_Cooling,Adset-4 Broad,2025-01-27,857.17,368817,9857.0,0.0267,406,12628.65,14.73,Carousel,Doctors recommend breathable organic cotton — meet our men inner vests.,Retargeting,Instagram,US
WOMEN Cotton Classics,Adset-2 WC,2025-01-11,31.47,153077,1324.0,0.0087,69,2170.8,68.98,UGC,No ride‑up guarantee — best‑selling women wire‑free bras back in stock.,Retargeting,Instagram,UK
Men Bold Colors Drop,Adset-4 Broad,2025-02-12,478.21,49365,545.0,0.011,4,117.14,0.24,Carousel,Confidence starts inside — elevate with men inner vests.,Broad,Instagram,US
MEN Signature Soft,Adset-1 Retarget,2025-02-14,676.31,197502,1493.0,0.0076,8,331.99,0.49,Video,Stretch that snaps back — durable men trunks.,Broad,Instagram,IN
WOMEN Cotton Classics,Adset-1 Retarget,2025-01-29,560.31,119267,1076.0,0.009,30,1313.05,2.34,Carousel,Cooling mesh panels for workouts — women sports bras you’ll actually love.,Broad,Instagram,US
Men Premium Modal,Adset-1 Retarget,2025-03-24,518.37,399528,4458.0,0.0112,111,3498.74,6.75,Image,Summer‑ready essentials — sweat‑wicking men boxers.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-3 ATC,2025-03-14,161.15,490396,8622.0,0.0176,247,8405.12,52.16,UGC,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-03-09,310.71,127452,2774.0,0.0218,83,2882.28,9.28,Image,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,US
Men ComfortMax Launch,Adset-4 LAL1,2025-01-18,417.18,113201,2185.0,0.0193,60,1260.65,3.02,Carousel,Summer‑ready essentials — sweat‑wicking men briefs.,Retargeting,Instagram,US
women_Summer_Invisible,Adset-3 ATC,2025-01-29,654.47,76275,797.0,0.0105,0,862.93,1.32,Image,Cooling mesh panels for workouts — women boyshorts you’ll actually love.,Broad,Instagram,UK
women Summer Invisible,Adset-2 ATC,2025-01-17,936.06,137549,1492.0,0.0108,29,1116.06,1.19,Video,Cooling mesh panels for workouts — women sports bras you’ll actually love.,Broad,Facebook,UK
Women  |  Studio  Sports,Adset-3 LAL2,2025-03-03,60.03,25064,184.0,0.0073,5,167.5,2.79,Image,Stretch that snaps back — durable women sports bras.,Retargeting,Instagram,US
Women | Studio Sports,Adset-1 ATC,2025-03-05,290.85,507517,3467.0,0.0068,103,2648.44,9.11,Carousel,"All‑day comfort, zero pinch — try our women wire‑free bras!",Broad,Instagram,UK
WOMEN SUMMER INVISIBLE,Adset-1 LAL1,2025-01-13,254.62,44904,428.0,0.0095,10,361.64,1.42,Carousel,Summer‑ready essentials — sweat‑wicking women bras.,Lookalike,Facebook,UK
MEN Signature Soft,Adset-3 LAL1,2025-03-04,882.37,503432,7397.0,0.0147,56,1387.99,1.57,Carousel,Invisible under tees — seamless men inner vests.,Broad,Instagram,UK
Men  ComfortMax  Launch,Adset-1 Retarget,2025-01-24,445.9,305067,,0.0175,177,4527.81,10.15,UGC,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Facebook,US
women fit & lift,Adset-5 LAL1,2025-03-09,135.49,357316,7792.0,0.0218,90,3283.03,24.23,Video,"Ultra‑soft waistband, no marks — premium women bras.",Broad,Facebook,US
Women Semless Everyday,Adset-3 Broad,2025-03-05,445.09,151022,1705.0,0.0113,66,1469.48,3.3,Carousel,"Wire‑free ease, cloud‑soft cups — women wire‑free bras that fits right.",Broad,Instagram,US
Men ComfortMax Launch,Adset-5 Retarget,2025-02-25,693.89,207382,2816.0,0.0136,42,1813.52,2.61,UGC,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,US
Men  Premium  Modal,Adset-2 Retarget,2025-03-17,286.13,294364,4311.0,0.0146,0,3040.68,10.63,Image,Doctors recommend breathable modal — meet our men trunks.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-4 LAL1,2025-01-29,603.46,134881,3478.0,0.0258,82,1644.79,2.73,Carousel,Confidence starts inside — elevate with men inner vests.,Broad,Facebook,US
men premium modal,Adset-5 LAL2,2025-01-18,248.11,404182,5477.0,0.0136,127,,9.64,UGC,Stretch that snaps back — durable men athletic briefs.,Broad,Facebook,US
Men Premium Modal,Adset-3 LAL1,2025-01-23,344.59,132273,1856.0,0.014,48,1807.89,5.25,Video,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Broad,Instagram,US
MEN  Signature  Soft,Adset-2 Broad,2025-03-19,288.66,53794,828.0,0.0154,8,187.78,0.65,UGC,Breathable modal that moves with you — limited offer on men briefs.,Retargeting,Facebook,IN
WOMEN_Seamless_Everyday,Adset-4 WC,2025-03-29,212.65,398316,2958.0,0.0074,88,4167.84,19.6,UGC,Doctors recommend breathable microfiber — meet our women sports bras.,Broad,Facebook,IN
W MEN FIT & LIFT,Adset-4 ATC,2025-03-05,1002.24,508773,6935.0,0.0136,47,1411.4,1.41,Image,3‑pack deal ends tonight — upgrade your women drawer with bras.,Broad,Instagram,IN
WOMEN  Seamless  Everyday,Adset-4 WC,2025-02-26,610.89,344229,1934.0,0.0056,62,1566.97,2.57,Video,Hot & comfy: women wire‑free bras now 20% off — feel the difference.,Lookalike,Instagram,UK
Women Cotton Classics,Adset-2 WC,2025-01-31,792.02,159954,1761.0,0.011,61,2284.89,2.88,Carousel,Doctors recommend breathable bamboo — meet our women panties.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-5 Retarget,2025-03-11,401.99,130776,1763.0,0.0135,55,2365.8,5.89,Image,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Retargeting,Instagram,IN
Women Fit and Lift,Adset-5 LAL1,2025-02-15,1119.72,403330,5152.0,0.0128,45,2526.75,2.26,UGC,Summer‑ready essentials — sweat‑wicking women wire‑free bras.,Broad,Instagram,IN
WOMEN Cotton Classics,Adset-2 WC,2025-02-05,417.19,42783,610.0,0.0143,17,,1.83,Image,Summer‑ready essentials — sweat‑wicking women panties.,Broad,Facebook,UK
Women Fit & Lift,Adset-5 LAL1,2025-01-24,437.62,94188,2062.0,0.0219,14,391.79,0.9,Carousel,Invisible under tees — seamless women bras.,Broad,Instagram,UK
Men Comfortmax Launch,Adset-4 LAL1,2025-02-22,479.25,103061,1526.0,0.0148,46,991.59,2.07,Image,Summer‑ready essentials — sweat‑wicking men trunks.,Broad,Instagram,IN
MEN Signature Soft,Adset-1 Retarget,2025-03-20,150.21,170761,1677.0,0.0098,7,127.85,0.85,Video,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Broad,Instagram,US
women  Summer  Invisible,Adset-3 ATC,2025-03-21,383.55,383124,4038.0,0.0105,81,2628.51,6.85,Video,Summer‑ready essentials — sweat‑wicking women sports bras.,Broad,Facebook,US
women  Summer  Invisible,Adset-5 LAL1,2025-01-09,84.55,197934,2040.0,0.0103,31,1316.7,15.57,UGC,Confidence starts inside — elevate with women sports bras.,Lookalike,Instagram,UK
women seamless everyday,Adset-4 WC,2025-02-14,,493026,2724.0,0.0055,62,3436.43,10.9,Video,"Ultra‑soft waistband, no marks — premium women bras.",Broad,Instagram,UK
MEN  Signature  Soft,Adset-2 Broad,2025-02-04,701.5,55382,673.0,0.0122,5,158.45,0.23,Video,Summer‑ready essentials — sweat‑wicking men boxers.,Lookalike,Facebook,US
MEN  Signature  Soft,Adset-5 WC,2025-03-24,489.67,478573,3572.0,0.0075,32,614.77,1.26,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Broad,Facebook,IN
women_Summer_Invisible,Adset-2 ATC,2025-01-22,729.55,416831,4319.0,0.0104,106,,4.57,Image,Doctors recommend breathable organic cotton — meet our women bras.,Broad,Facebook,UK
Men Premium Modal,Adset-4 Retarget,2025-01-10,521.61,130101,1518.0,0.0117,28,696.98,1.34,Carousel,Confidence starts inside — elevate with men briefs.,Broad,Facebook,US
men | athleisure cooling,Adset-5 Broad,2025-03-26,458.26,83284,1333.0,0.016,48,1879.68,4.1,Carousel,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Broad,Instagram,US
Men Bold Colors Drop,Adset-4 Broad,2025-03-21,791.77,495816,1734.0,0.0035,24,919.97,1.16,Video,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Facebook,IN
Women_|_Studio_Sports,Adset-4 ATC,2025-01-05,1277.99,393585,3915.0,0.0099,143,3527.1,2.76,Video,Seamless confidence for every day — new women wire‑free bras.,Lookalike,Facebook,US
women Summer Invisible,Adset-1 LAL1,2025-01-26,424.9,251146,1697.0,0.0068,32,1399.4,3.29,UGC,Doctors recommend breathable organic cotton — meet our women sports bras.,Broad,Instagram,US
women_Summer_Invisible,Adset-3 ATC,2025-02-03,154.47,247117,3460.0,0.014,74,3653.98,23.65,Image,"All‑day comfort, zero pinch — try our women boyshorts!",Broad,Facebook,UK
Women Seamless Everyday,Adset-3 Broad,2025-02-08,389.91,508056,4400.0,0.0087,120,3805.29,9.76,Image,Invisible under tees — seamless women panties.,Broad,Instagram,IN
Women_|_Studio_Sports,Adset-4 ATC,2025-03-16,224.86,55956,667.0,0.0119,26,824.86,3.67,Image,Invisible under tees — seamless women sports bras.,Retargeting,Instagram,UK
WOMEN FIT & LIFT,Adset-1 ATC,2025-01-20,,340978,4401.0,0.0129,55,2102.75,2.35,UGC,Breathable cotton that moves with you — limited offer on women bras.,Lookalike,Facebook,US
Women  Fit  &  Lift,Adset-5 LAL1,2025-03-15,628.92,243511,2947.0,0.0121,41,1860.52,2.96,Video,Seamless confidence for every day — new women bras.,Retargeting,Facebook,IN
Women  Fit  &  Lift,Adset-3 LAL2,2025-03-17,81.76,13836,219.0,0.0158,2,104.9,1.28,UGC,Doctors recommend breathable modal — meet our women sports bras.,Retargeting,Facebook,UK
Men Signature Soft,Adset-3 LAL1,2025-02-12,852.55,37485,223.0,0.006,0,55.54,0.07,Image,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Facebook,US
women fit & lift,Adset-5 LAL1,2025-01-21,204.69,494491,5234.0,0.0106,61,2714.15,13.26,Image,"Ultra‑soft waistband, no marks — premium women wire‑free bras.",Broad,Instagram,IN
omen | Studio Sports,Adset-1 ATC,2025-03-12,525.95,289232,3985.0,0.0138,132,,11.44,Video,"Ultra‑soft waistband, no marks — premium women bras.",Lookalike,Instagram,US
MEN SIGNATURE SOFT,Adset-5 WC,2025-02-20,608.92,269972,4656.0,0.0172,28,898.83,1.48,Image,Doctors recommend breathable bamboo — meet our men briefs.,Broad,Facebook,US
WOMEN Cotton Classics,Adset-2 WC,2025-02-15,706.27,394935,2706.0,0.0069,63,,2.9,Video,"Wire‑free ease, cloud‑soft cups — women panties that fits right.",Broad,Instagram,IN
MEN  Signature  Soft,Adset-2 Broad,2025-02-21,85.57,122623,1378.0,0.0112,12,291.81,3.41,Carousel,Seamless confidence for every day — new men athletic briefs.,Retargeting,Facebook,IN
WOMEN FIT & LIFT,Adset-5 LAL1,2025-01-22,,286200,4694.0,0.0164,51,1298.63,3.15,Image,"Wire‑free ease, cloud‑soft cups — women bras that fits right.",Broad,Instagram,IN
men premium modal,Adset-4 Retarget,2025-03-28,69.67,149656,2101.0,0.014,63,2392.16,34.34,UGC,"Push comfort, not wires — everyday men inner vests.",Broad,Facebook,IN
men | athleisure cooling,Adset-5 Broad,2025-03-03,139.2,379163,5375.0,0.0142,203,,65.45,UGC,No ride‑up guarantee — best‑selling men trunks back in stock.,Lookalike,Facebook,UK
men bold colors drop,Adset-5 LAL2,2025-02-23,402.66,328317,2395.0,0.0073,28,710.51,1.76,Image,"Push comfort, not wires — everyday men briefs.",Broad,Instagram,US
WOMEN_Cotton_Classics,Adset-5 ATC,2025-02-04,519.27,498315,4970.0,0.01,162,4776.09,9.2,Image,"Wire‑free ease, cloud‑soft cups — women panties that fits right.",Broad,Instagram,IN
Women Summer Invisible,Adset-5 LAL1,2025-03-14,90.52,279461,3904.0,0.014,76,1783.56,19.7,Image,No ride‑up guarantee — best‑selling women boyshorts back in stock.,Broad,Instagram,US
MEN | ATHLEISURE COOLING,Adset-3 Broad,2025-01-11,534.24,130886,3491.0,0.0267,157,4878.8,9.13,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Lookalike,Facebook,IN
women_Summer_Invisible,Adset-3 ATC,2025-01-22,153.12,255831,3194.0,0.0125,68,1867.28,12.19,Video,Cooling mesh panels for workouts — women boyshorts you’ll actually love.,Broad,Instagram,UK
MEN Signature Soft,Adset-5 WC,2025-03-15,175.59,38431,446.0,0.0116,3,101.46,0.58,Carousel,"Push comfort, not wires — everyday men athletic briefs.",Broad,Facebook,IN
Women | tudio Sports,Adset-5 ATC,2025-01-10,250.76,355351,4027.0,0.0113,0,4307.87,17.18,Image,Doctors recommend breathable modal — meet our women wire‑free bras.,Lookalike,Facebook,US
WOMEN_Cotton_Classics,Adset-1 Retarget,2025-01-25,227.75,467387,4880.0,0.0104,158,8175.5,35.9,Video,Confidence starts inside — elevate with women boyshorts.,Lookalike,Instagram,UK
Women-Studio Sports,Adset-5 ATC,2025-02-22,1208.84,230861,2841.0,0.0123,99,5195.74,4.3,Video,"Ultra‑soft waistband, no marks — premium women boyshorts.",Lookalike,Facebook,UK
Men Bold Colors Drop,Adset-5 LAL2,2025-01-30,457.05,338027,2986.0,0.0088,35,645.37,1.41,UGC,Stretch that snaps back — durable men inner vests.,Broad,Instagram,UK
Men Signture Soft,Adset-4 LAL2,2025-01-22,86.57,206825,2988.0,0.0144,19,463.28,5.35,UGC,Doctors recommend breathable organic cotton — meet our men boxers.,Broad,Facebook,UK
WOMEN SEAMLESS EVERYDAY,Adset-1 LAL1,2025-01-29,296.51,98302,593.0,0.006,17,979.58,3.3,Carousel,"Wire‑free ease, cloud‑soft cups — women panties that fits right.",Broad,Instagram,US
women fit & lift,Adset-5 LAL1,2025-02-11,573.16,260777,4632.0,0.0178,29,1037.43,1.81,Image,"Ultra‑soft waistband, no marks — premium women sports bras.",Broad,Facebook,IN
Men  Bold  Colors  Drop,Adset-1 Broad,2025-01-23,371.32,396079,3032.0,0.0077,29,1089.66,2.93,UGC,Stretch that snaps back — durable men athletic briefs.,Retargeting,Instagram,UK
Women Fit and Lift,Adset-1 ATC,2025-02-05,728.53,172807,3882.0,0.0225,37,2073.98,2.85,UGC,Breathable cotton that moves with you — limited offer on women boyshorts.,Broad,Instagram,IN
Women Summer Invisible,Adset-5 LAL1,2025-01-11,466.19,44955,494.0,0.011,0,275.13,0.59,Video,"Wire‑free ease, cloud‑soft cups — women panties that fits right.",Lookalike,Instagram,UK
Women-Studio Sports,Adset-2 Broad,2025-01-24,628.43,43616,584.0,0.0134,20,989.05,1.57,Image,No ride‑up guarantee — best‑selling women bras back in stock.,Broad,Instagram,US
Women  |  Studio  Sports,Adset-3 LAL2,2025-03-01,407.35,196598,2567.0,0.0131,62,2058.61,5.05,UGC,"Push comfort, not wires — everyday women boyshorts.",Broad,Instagram,US
MEN BOLD COLORS DROP,Adset-1 Broad,2025-01-27,639.22,166464,1586.0,0.0095,15,473.49,0.74,Carousel,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Lookalike,Facebook,IN
Men_Premium_Modal,Adset-4 Retarget,2025-03-06,171.02,226971,2618.0,0.0115,18,433.32,2.53,Carousel,Summer‑ready essentials — sweat‑wicking men trunks.,Retargeting,Facebook,IN
Women_Fit_&_Lift,Adset-3 LAL2,2025-03-05,1099.33,407754,11397.0,0.028,95,4575.45,4.16,Image,Confidence starts inside — elevate with women sports bras.,Broad,Facebook,US
WOMEN Seamless Everyday,Adset-3 Broad,2025-03-17,799.95,257980,1989.0,0.0077,57,2979.93,3.73,UGC,No ride‑up guarantee — best‑selling women boyshorts back in stock.,Broad,Facebook,IN
men comfortmax launch,Adset-1 Retarget,2025-02-21,1482.76,512995,5407.0,0.0105,136,3584.59,2.42,Carousel,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Facebook,UK
WOMEN  Seamless- Everyday,Adset-3 Broad,2025-03-03,,249075,2133.0,0.0086,66,2029.66,1.56,Video,No ride‑up guarantee — best‑selling women wire‑free bras back in stock.,Lookalike,Instagram,US
Women Cotton Classics,Adset-5 ATC,2025-03-04,890.02,473481,6338.0,0.0134,202,8682.22,9.76,Image,"Ultra‑soft waistband, no marks — premium women sports bras.",Broad,Facebook,US
Men Signature Soft,Adset-2 Broad,2025-03-04,303.19,36847,539.0,0.0146,3,115.15,0.38,Video,Confidence starts inside — elevate with men athletic briefs.,Broad,Facebook,US
Men Premium Modal,Adset-5 LAL2,2025-02-14,543.99,57110,538.0,0.0094,16,585.0,1.08,Video,No ride‑up guarantee — best‑selling men inner vests back in stock.,Broad,Instagram,US
Men | Athleisure Cooling,Adset-1 Retarget,2025-01-16,472.99,234013,,0.0285,173,3911.62,8.27,UGC,Breathable bamboo that moves with you — limited offer on men briefs.,Retargeting,Instagram,US
Women Fit & Lift,Adset-4 ATC,2025-01-31,678.92,437341,6400.0,0.0146,74,2697.91,3.97,Carousel,Seamless confidence for every day — new women panties.,Broad,Facebook,IN
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-27,455.36,83162,1179.0,0.0142,29,1067.76,2.34,Video,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Instagram,IN
WOMEN Cotton Classics,Adset-4 LAL2,2025-01-06,112.82,127701,1431.0,0.0112,45,2311.01,20.48,Video,Breathable modal that moves with you — limited offer on women bras.,Lookalike,Facebook,IN
WOMEN Cotton Classics,Adset-5 ATC,2025-02-18,545.33,123128,645.0,0.0052,21,903.47,1.66,Video,"Ultra‑soft waistband, no marks — premium women sports bras.",Broad,Instagram,IN
women fit & lift,Adset-4 ATC,2025-03-01,93.93,514109,7869.0,0.0153,71,2771.25,29.5,UGC,Seamless confidence for every day — new women sports bras.,Lookalike,Instagram,UK
women cotton classics,Adset-4 LAL2,2025-01-23,447.43,339668,3535.0,0.0104,116,5500.95,12.29,Image,Confidence starts inside — elevate with women bras.,Broad,Facebook,UK
